year_event;event;country_event
1966; Grand Duchess Charlotte Bridge opens.;Luxembourg
1968; European Investment Bank headquarters relocates to Luxembourg.;Luxembourg
1970; Colette Flesch becomes mayor.;Luxembourg
1973;National Library of Luxembourg relocates to former Athénée building.;Luxembourg
1973;Rugby Club Luxembourg formed.;Luxembourg
1975; European Court of Auditors headquartered in city.;Luxembourg
1976; Municipal Hospital opens.;Luxembourg
1979; Ons Stad [lb] begins publication.;Luxembourg
1982;Lydie Polfer becomes mayor.;Luxembourg
1982;St. Peter and Paul Church consecrated.;Luxembourg
1984;Photothèque opens.;Luxembourg
1984;Hilton Luxembourg hotel built.;Luxembourg
1991; BGL Luxembourg Open tennis tournament begins.;Luxembourg
1993; Am Tunnel art gallery opens.;Luxembourg
1994;European Investment Fund headquartered in city.;Luxembourg
1995;City designated a European Capital of Culture.;Luxembourg
1995;Den Atelier music venue opens.;Luxembourg
1996;Luxembourg City History Museum founded.;Luxembourg
1996;Utopolis Kirchberg cinema multiplex (since renamed Kinepolis Kirchberg) and Casino Luxembourg open.;Luxembourg
1999; Paul Helminger becomes mayor.;Luxembourg
2001;City website online (approximate date).[20][chronology citation needed];Luxembourg
2001;Lycée Aline Mayrisch established.;Luxembourg
2002; National Museum of History and Art building expands.;Luxembourg
2004; Football Club FC RM Hamm Benfica formed.;Luxembourg
2005;Philharmonie Luxembourg concert hall opens.;Luxembourg
2005;Racing Football Club Union Luxembourg formed.;Luxembourg
2005;;
2006; Grand Duke Jean Museum of Modern Art inaugurated.;
2008; Judiciary City inaugurated.;
2010; Villeroy & Boch porcelain factory closes.;
2011;Xavier Bettel becomes mayor.;
