,year_event,country_event,event
27,1947,Sweden,"Furniture company, IKEA, founded by Ingvar Kamprad"
28,1947,United Kingdom,India gains independence from Britain.
29,1948,Albania,Albanian Communist Party leaders began voting to merge the Albanian and Yugoslavian economies and militaries.
30,1948,Belgium,"Customs Convention between Belgium, the Netherlands and Luxembourg comes into force.[154]: 978"
31,1948,Croatia,Tito–Stalin split: Croatian Communist Party member Andrija Hebrang was arrested after supporting the Soviet Union in a dispute with Yugoslavia.[citation needed]
32,1948,Germany,"Ludwig Erhard, the appointed economic director of the Bizone, introduced the Deutsche Mark."
33,1948,Iceland,Iceland receives Marshall Aid from the United States.[citation needed]
34,1948,Italy,"The general election sanctions the supremacy of the Christian Democracy party, and the belonging of Italy to the Western side."
35,1948,Portugal,The MUD is banished.
36,1948,Romania,"A new constitution is ratified on April 13. Two months later, on June 11 all banks and major enterprises are nationalized. During the year, also in the years to come, many pre-war politicians, businessmen, priests and even ordinary people are thrown in prisons. On August 30, following the model of Soviet NKVD, the Romanian secret police is formed;"
37,1948,Russia,Berlin Blockade: The Soviet Union blocked rail and road access to West Berlin.
38,1948,Serbia,"The SFRY is expelled from the World Communist League, after refusing to accept the Soviet Union's supremacy in the communist world. Yugoslavia, therefore, has never signed the Warsaw Pact nor has it been, consequently, behind the Iron Curtain, unlike its immediate neighbours. From that point on Yugoslav history differs from that of cold-war Eastern Europe"
39,1948,Slovenia,"Soviet Union calls back all its specialists from Yugoslavia. The Communist Party of the Soviet Union accuses the Communist Party of Yugoslavia of not being democratic, that it leans toward imperial powers, that returns to capitalism, and that it diverts from Marxism. The Informbiro begins. Economic blockade and a threat of military intervention follow."
40,1948,United Kingdom,British Rail is established.
41,1949,Albania,The regime issued a Decree on Religious Communities.
42,1949,Belgium,"Belgian general election, 1949"
43,1949,Bulgary,Georgi Dimitrov died and Valko Chervenkov became the new leader of the communist party.
44,1949,Croatia,Nazor died.
45,1949,Cyprus,The British Government finished imprisoning displaced Jews.
46,1949,Estonia,"Operation Priboi: An extensive deportation campaign is conducted in Estonia, Latvia and Lithuania. The Soviet authorities deport more than 92,000 people from the Baltics to remote areas of the Soviet Union."
47,1949,Germany,Berlin Blockade: The Soviet Union lifted the blockade.
48,1949,Iceland,Riots break out on Austurvöllur.[citation needed]
49,1949,Ireland,The Republic of Ireland Act abolishes the statutory functions of the British monarch in relation to Ireland and confers them on the President of Ireland.
50,1949,Italy,Italy joins NATO.
51,1949,Portugal,The President António Óscar Carmona meets with Spanish dictator Francisco Franco.
52,1949,Romania,"A forced collectivization, in which the agriculture is organized under the socialist model, comes into force. Romania join Comecon. The construction of Danube-Black Sea Canal starts. The canal was the most known labour camp in the history of Romania;"
53,1949,Russia,Berlin Blockade: The Soviets lifted the blockade.
54,1950,Albania,Britain and the United States begin inserting unsuccessful anticommunist Albanian guerrilla units into Albania.
55,1950,Belgium,"Royal Question brought to a head with Belgian monarchy referendum, 1950"
56,1950,Croatia,Tito announced the introduction of workers' self-management in Yugoslavia.
57,1950,Cyprus,"Archbishop Makarios III was elected the political and spiritual leader of Cyprus, the head of the autocephalous Cypriot Orthodox Church and leader of the campaign for Enosis with the support of Greece."
58,1950,Germany,Wirtschaftswunder: The Times first used the term Wirtschaftswunder to refer to the rapid postwar economic growth of West Germany and Austria.
59,1950,Russia,"Korean War: Regarding a mass invasion of the South, Stalin wrote to his ambassador to North Korea: ""Tell him [Kim] that I am ready to help him in this matter."""
60,1950,United Kingdom,"Birth of Anne, Princess Royal."
61,1951,Albania,Albania and the Soviet Union signed an agreement on mutual economic assistance.
62,1951,Belgium,"Treaty of Paris signed, establishing the European Coal and Steel Community.[154]: 655"
63,1951,France,"Treaty of Paris: Establishment of the European Coal and Steel Community (ECSC) between France, West Germany, Italy, and the Benelux countries, producing diplomatic and economic stability in Europe between former enemy states. The ECSC is credited as one of the major ""ancestors"" of the European Union."
64,1951,Germany,"The Inner Six European nations including West Germany signed the Treaty of Paris establishing the European Coal and Steel Community, a single market in coal and steel governed by supranational institutions."
65,1951,Iceland,The United States Army establishes a base in Keflavík.[citation needed]
66,1951,Portugal,António de Oliveira Salazar becomes Provisional President of the Republic due to the death of President António Óscar de Fragoso Carmona.
67,1951,Romania,"During the night of June 18 the third-largest mass deportation in modern Romanian history takes place. Some 45,000 people are taken from their homes and deported to the Bărăgan plain;"
68,1951,United Kingdom,Sir Winston Churchill becomes Prime Minister for the second time.
69,1952,Belgium,Treaty of Paris establishing the European Coal and Steel Community comes into force.[154]: 655
70,1952,Finland,Finland entered into a passport union.
71,1952,Germany,East Germany strengthened its border protection regime along the Inner German border.
72,1952,Iceland,Exclusive economic zone extended to 4 nautical miles. Ásgeir Ásgeirsson becomes president.[citation needed]
73,1952,Italy,Italy becomes a founding member of the European Coal and Steel Community.
74,1952,Romania,"The Hungarian Autonomous Province, the one and only autonomous province in modern Romania, is created. It will be disestablished in 1968. The second Communist constitution is ratified;"
75,1952,Russia,Prague Trials: A series of show trials purged the Czech Communist Party of Jews and insufficiently orthodox Stalinists.
76,1952,United Kingdom,"Autocode, regarded as the first compiled programming language, is developed by Alick Glennie."
77,1953,Belgium,"North Sea flood damages Belgian coastal defences, killing 28"
78,1953,Croatia,The 1953 Yugoslav Constitution came into force.
79,1953,Germany,"Uprising of 1953 in East Germany: In response to a 10 percent increase in work quotas, between 60 and 80 construction workers went on strike in East Berlin. Their numbers quickly swelled and a general strike and protests were called for the next day."
80,1953,Italy,"The national oil company ENI (Ente Nazionale Idrocarburi) is established, with Enrico Mattei as his first President. The ENI will become a strong actor in Italian foreign policy towards Arab countries."
81,1953,Romania,The Danube-Black Sea Canal is halted and the labour camp disestablishedied Iuliu Maniu dies in Sighet prison;
82,1953,Russia,An article in Pravda accused some of the nation's most prominent doctors – particularly Jews – of participating in a vast conspiracy to poison top Soviet leaders.
83,1953,Spain,Spain and the United States sings the Pact of Madrid.
84,1953,United Kingdom,James Watson and Francis Crick publish their discovery of the structure of DNA.
85,1954,Albania,Hoxha relinquished the post of Prime Minister to Mehmet Shehu but retained primary power as First Secretary of the Communist Party.
86,1954,Belgium,"Belgian general election, 1954"
87,1954,Bulgary,Todor Zhivkov became the leader of the communist party.
88,1954,Cyprus,Sir Robert Perceval Armitage became governor.
89,1954,France,René Coty began his term as president of France.
90,1954,Germany,1954 FIFA World Cup Final: West Germany defeated the heavily favored Hungarian national team in the final match of the FIFA World Cup in Bern.
91,1954,Italy,The state-owned RAI broadcasts the first Italian official TV program.
92,1954,Portugal,"The Dadra and Nagar Haveli Portuguese enclave, dependent of Daman, is occupied by India."
93,1954,Romania,"SovRoms, joint ventures between Romania and Soviet Union are formed. They will prove their inefficiency for Romania from the first day of establishment and most of them will be dissolved in 1956;"
94,1954,Russia,Kengir Uprising: Prisoners at a Gulag adjacent to the Kazakh village of Kengir occupied the camp's service yard.
95,1954,Serbia,"The Free Territory of Trieste is dissolved by the Treaty of Osimo, splitting it roughly in half between the SFRY and Italy, putting an end to a decade-long dispute between the Adriatic neighbours."
96,1954,Slovenia,"Free Territory of Trieste expires after the London Memorandum is signed between the US, Great Britain, Italy and Yugoslavia. Trieste becomes Italian. Slovenia gets the north of Istria."
97,1954,Sweden,Sweden conducts its first television broadcast
98,1954,United Kingdom,Roger Bannister breaks the four-minute mile with a time of 3:59.4.
99,1955,Albania,Albania became a founding member of the Warsaw Pact.
100,1955,Belgium,First phase of the Second School War
101,1955,Bulgary,The Warsaw Pact was signed.
102,1955,Cyprus,Sir John Harding became governor.
103,1955,Estonia,Estonian Television (ETV) began broadcasting.
104,1955,Germany,"West Germany joined the North Atlantic Treaty Organization (NATO), a collective defense organization."
105,1955,Ireland,Ireland joins the United Nations along with sixteen other sovereign states.
106,1955,Italy,The Messina Conference achieves the basic agreement on the European Economic Community
107,1955,Latvia,About thirty thousand deportees returned to Latvia from the USSR under a general amnesty.
108,1955,Malta,"A Round Table Conference is held in London, on the future of Malta.[17]"
109,1955,Romania,"Romania joins the Warsaw Pact. On February 14, a group of Romanian anti-Communists occupies the Romanian embassy in Berne demanding the release from prisons of many public personalities. With the help of the Swiss police, the order is re-established two days later. On December 14, Romania join the United Nations;"
110,1955,Russia,"Khrushchev and Tito issued the Belgrade declaration, which declared that ""different forms of Socialist development are solely the concern of the individual countries."""
111,1955,Slovenia,"Informbiro ends. Josip Broz Tito and Nikita Khrushchev sign the Belgrade declaration, which also recognizes a Yugoslav form of socialism."
112,1955,Spain,Spain joins the United Nations.
113,1955,United Kingdom,Anthony Eden becomes Prime Minister.
114,1956,Albania,"Communist Party of the Soviet Union chief Nikita Khrushchev delivered the speech ""On the Personality Cult and its Consequences"" in which he criticized his predecessor Joseph Stalin, and caused a chill in relations with Albania under the pro-Stalin Hoxha."
115,1956,Belgium,"Labour Treaty signed at The Hague establishing free movement of labour between Belgium, Luxembourg and the Netherlands, to come into force 1 November 1960.[155]"
116,1956,Cyprus,Britain deported Makarios to the Seychelles in an attempt to quell the revolt.
117,1956,Finland,Urho Kekkonen became president of Finland.[8]
118,1956,Malta,"A referendum is held on the integration of Malta into the United Kingdom: 75% vote 'Yes'; however, the result is deemed to be questionable due to a boycott by 40% of the electorate in response to concerns raised by opposition parties and by the Catholic Church.[18]"
119,1956,Portugal,"Amílcar Cabral founds the PAIGC (Partido Africano da Independência da Guiné e Cabo Verde, African Party for the Independence of Guinea and Cape Verde)."
120,1956,Romania,"On October 28 a radio station calling itself ""Romania of the future. The voice of resistance"" begins broadcasting on different wavelengths. Many protests, especially amongst students, follows in November. On December 31, Televiziunea Română start to broadcast first programmes;"
121,1956,Russia,"At a closed session of the 20th Party Congress, Khrushchev read the ""Secret Speech,"" On the Personality Cult and its Consequences, denouncing the actions of his predecessor Stalin. The speech weakened the hand of the Stalinists in the Soviet government."
122,1956,United Kingdom,"Britain opens its first nuclear power station, Calder Hall."
123,1957,Belgium,Belgium a signatory to the Treaty of Rome establishing the European Economic Community.
124,1957,Cyprus,Field Marshal Sir John Harding was replaced by the civilian governor Sir Hugh Foot in a conciliatory move.
125,1957,France,Treaties of Rome: The Inner Six countries (including France) signed two treaties establishing the European Economic Community (EEC) and the European Atomic Energy Community (EAEC).
126,1957,Italy,The Treaty of Rome founds the European Economic Community.
127,1957,Malta,"Closure of the British naval docks in Grand Harbour has a devastating effect on the Maltese economy, leading to high unemployment at a time when a quarter of the workforce was employed in defence related activities."
128,1957,Portugal,"Frente Nacional de Libertação de Angola (National Front for the Liberation of Angola), is founded as União das Populações do Norte de Angola (Union of the Populations of Northern Angola)."
129,1957,Romania,ARO is established in Câmpulung-Muscel and start to manufacture off-road vehicles. ARO IMS become the first car built in Romania after World War II. Over the next three decades ARO will be a landmark of Romania.
130,1957,Russia,"Led by the Stalinist Anti-Party Group, the Presidium voted to depose Khrushchev as First Secretary. The Presidium reversed its vote under pressure from Khrushchev and the defense minister and deferred the decision to a later meeting of the full Central Committee."
131,1957,Sweden,Ingmar Bergman's The Seventh Seal (Det sjunde inseglet)
132,1957,United Kingdom,Harold Macmillan becomes Prime Minister.
133,1958,Belgium,"Expo 58, the first major World's Fair since the Second World War."
134,1958,Cyprus,First of 2 days of serious rioting by Turkish Cypriots. Seven were killed by British security forces.[87]
135,1958,Iceland,Exclusive economic zone extended to 12 nautical miles.[citation needed]
136,1958,Italy,Singer-songwriter Andrea Bocelli is born in Lajatico.
137,1958,Malta,Talks between Valletta and Whitehall regarding the integration proposal break down.
138,1958,Portugal,Américo Thomaz becomes President of the Republic.
139,1958,Romania,The Soviet Union Army leave Romania after fourteen years of occupation;
140,1958,Russia,Khrushchev replaced Bulganin as Premier of the Soviet Union.
141,1958,Switzerland,The Swiss government announced its intention to develop and build a nuclear arsenal.
142,1958,United Kingdom,The British motorway system opens with the M6 Preston bypass.
143,1959,Albania,"Large amounts of economic aid from the Soviet Union, Eastern European countries and China began pouring into Albania."
144,1959,Cyprus,"British minesweeper HMS Burmaston intercepts the Turkish registered boat, Deniz. Loaded with weaponry, the boat is scuttled by its 3-member crew. The crew, all Turkish nationals, are arrested for importing munitions without a permit.[90]"
145,1959,France,"Charles de Gaulle became the first president of the Fifth Republic, whose new constitution greatly increased the President's powers (as opposed the Third and Fourth Republics, in which the office of President of the Republic was a largely ceremonial and powerless one)."
146,1959,Germany,Lauffen bus crash
147,1959,Italy,"Valentino opens his first atelier, in Rome on Via Condotti."
148,1959,Malta,"Malta is granted an Interim Constitution, providing for the creation of an Executive Council."
149,1959,Portugal,"Pijiguiti Massacre – Portuguese soldiers open fire on protesting dockworkers in Bissau (Portuguese Guinea), killing 50."
150,1959,Romania,"On July 28, the Ioanid Gang carries out the most famous bank robbery ever to occur in a Communist state;"
151,1959,Russia,Cuban Revolution: Revolutionaries led by Fidel Castro overthrow Fulgencio Batista.
152,1959,Spain,Spanish miracle: A period of economic growth began.
153,1960,Albania,"Soviet–Albanian split: Albania sided with the People's Republic of China, causing the Soviet Union to dramatically curtail economic support."
154,1960,Belgium,Birth of future King Philippe of Belgium
155,1960,Cyprus,British occupation ended.
156,1960,Italy,"Italian film director Federico Fellini shoots La Dolce Vita, an episodic study of life along Via Veneto in Rome."
157,1960,Portugal,A group of ten Portuguese Communist Party members escaped from the high-security prison in Peniche. Among the escapees was Álvaro Cunhal.
158,1960,Romania,"Oliviu Beldeanu, the leader of the group that occupied the Romanian embassy in Bern five years earlier, is executed in Bucharest;"
159,1960,Russia,"Sino-Soviet Split: A Chinese Communist Party newspaper accused the Soviet leadership of ""revisionism."""
160,1960,United Kingdom,"Birth of Prince Andrew, Duke of York."
161,1961,Albania,Hoxha harangued against the Soviet Union and Yugoslavia at Albania's Fourth Party Congress.
162,1961,Belgium,Patrice Lumumba killed in Congo
163,1961,Finland,Finland requested membership for the European Free Trade Association.
164,1961,Germany,Construction began on the Berlin Wall between East and West Berlin.
165,1961,Malta,"The State of Malta is created pursuant to the Blood Constitution, which provides for a measure of self-government."
166,1961,Portugal,The Prime Minister António de Oliveira Salazar takes on himself the office of Minister of National Defense and reorganizes the Government to face the war in Africa.
167,1961,Russia,Yuri Gagarin becomes the first human to travel into outer space.
168,1961,United Kingdom,"Birth of Diana, Princess of Wales."
169,1962,Albania,The Albanian regime introduced an austerity program in an attempt to compensate for the withdrawal of Soviet economic support.
170,1962,Belgium,Rioting in Brussels between Flemish nationalist and Francophone demonstrators.[156]
171,1962,Bulgary,Yugov retired from the communist party.
172,1962,France,"End of the Algerian War, Algeria, a French colony, obtained independence from France after almost 8 years of official strife."
173,1962,Portugal,The PAIGC Guerrilla warfare against the Portuguese begins with an abortive attack on Praia.
174,1962,Russia,"Novocherkassk massacre: Soviet workers gathered in the town square of Novocherkassk to protest an increase in food prices and work quotas. Shots were fired at the rioters, killing 25 and injuring 87 people."
175,1963,Belgium,"Jeanne Deckers, the Singing Nun, becomes world famous."
176,1963,Bulgary,Pirin Macedonia was declared by Zhivkov as a part of Bulgaia.
177,1963,Croatia,The 1963 Yugoslav Constitution came into force.
178,1963,Cyprus,"Greek Cypriots began to view the constitution as unworkable and proposed changes abolishing all veto rights and many ethnic clauses; these proposals were rejected by Turkish Cypriots and the Turkish government. Inter-communal fighting erupted. Tylliria was bombarded with napalm bombs. A UN Peace Keeping Force was sent in, but soon proved powerless to prevent incidents. Thousands of Turkish Cypriots retreated into enclaves where they were embargoed by the Greek Cypriots. The UN attempted to supply them with food and medicine. Akritas plan"
179,1963,Germany,Erhard became chancellor of West Germany.
180,1963,Iceland,Volcanic eruption forms Surtsey.[citation needed]
181,1963,Italy,The DC switches to a strategy of alliance with the socialist PSI. Electric energy is nationalised and the high school system is reformed.
182,1963,Portugal,The FLEC (Frente para a Libertação do Enclave de Cabinda; Front for the Liberation of the Enclave of Cabinda) is founded.
183,1963,Switzerland,"Switzerland joined the Council of Europe, a body dedicated to the promotion of good governance and human rights in Europe."
184,1963,United Kingdom,"The first report of the Beeching cuts - a railway restructuring plan - was published, The Reshaping of British Railways."
185,1964,Albania,"Khrushchev was forced to resign, to the delight of Hoxha."
186,1964,Belgium,Salvatore Adamo becomes one of the most commercially successful musicians in the world.
187,1964,Cyprus,"The Battle of Tylliria takes place. Greek-Cypriot forces storm the Turkish-held Kokkina enclave, prompting a Turkish military intervention and airstrikes on the Greek forces. However, Soviet pressure prevented the Turks from going any further, and when the battle ended after four days of fierce fighting, the Kokkina enclave had been reduced to 50-40% of its original size."
188,1964,Germany,The National Democratic Party of Germany (NPD) was established.
189,1964,Italy,Singer-songwriter Cristina d'Avena is born.
190,1964,Italy,"Sergio Leone's A Fistful of Dollars, the first of three films in his Dollars Trilogy of Spaghetti Westerns starring Clint Eastwood, is released."
191,1964,Malta,"Malta is granted independence from the United Kingdom as a Constitutional Monarchy, with Queen Elizabeth II as its Head of State."
192,1964,Portugal,The FRELIMO controls most of Northern Portuguese Mozambique.
193,1964,Russia,"Khrushchev's rivals in the party deposed him at a Central Committee meeting. Leonid Brezhnev and Alexei Kosygin assumed power as First Secretary and Premier, respectively."
194,1964,United Kingdom,"Birth of Prince Edward, Earl of Wessex."
195,1965,Belgium,Treaty to establish a Benelux Court of Justice signed.[154]: 978
196,1965,France,"Merger Treaty: this treaty merged the ECSC, the EEC and the EAEC into a single institutional structure known as the European Community."
197,1965,Italy,The film For a Few Dollars More is released.
198,1965,Malta,Malta joins the Council of Europe.
199,1965,Portugal,"6th Congress of the Portuguese Communist Party, one of the most important congresses in the Party's history, after Álvaro Cunhal released the report The Path to Victory – The tasks of the Party in the National and Democratic Revolution, which became an important document in the anti-dictatorship struggle."
200,1965,Romania,"On March 19, Gheorghe Gheorghiu-Dej dies and Nicolae Ceauşescu is elected General Secretary of the Romanian Communist Party and becomes the state leader. The official name of the country is changed into The Socialist Republic of Romania. The third Communist constitution is ratified;"
201,1965,United Kingdom,Death of Sir Winston Churchill.
202,1966,Albania,Hoxha initiated a Cultural and Ideological Revolution.
203,1966,Belgium,Belgium ratifies London Fisheries Convention.
204,1966,Germany,Erhard resigned.
205,1966,Iceland,The Icelandic State Television begins its first broadcasts.[citation needed]
206,1966,Italy,Socialist and Democratic Socialist Party joined forces in the Unified Socialist Party.
207,1966,Portugal,The UNITA – União Nacional para a Independência Total de Angola (National Union for Total Independence of Angola) is founded by Jonas Savimbi.
208,1966,Romania,"Intreprinderea de Autoturisme Piteşti is established. Two years later Romania start the mass production, the first mass production of a car – Dacia 1100. Nicolae Ceauşescu orders that the abortion decree signed in 1957 to be reversed and new policies to increase birth rate and fertility rate are introduced. The policy fails, as the population begins to swell, accompanied by rising poverty and increased homelessness children in the urban areas;"
209,1967,Albania,The Hoxha regime began to conduct a violent campaign against religious life which would close or convert to other uses over two thousand religious buildings by the end of the year.
210,1967,Croatia,"Croatian Spring: The Declaration on the Status and Name of the Croatian Literary Language was published, demanding equal status for the Croatian language."
211,1967,France,"Charles de Gaulle's famous ""Vive le Québec libre"" speech provoked a diplomatic crisis in Canada–France relations."
212,1967,Germany,"The unarmed student Benno Ohnesorg, a member of the German student movement, was shot and killed by Karl-Heinz Kurras, a Berlin Police inspector and East German spy, while protesting the state visit of shah Mohammad Reza Pahlavi of Iran."
213,1967,Portugal,"By this time the PAIGC had carried out 147 attacks on Portuguese barracks and army encampments, and effectively controlled 2/3 of Portuguese Guinea."
214,1967,Russia,Sino-Soviet split: The Chinese government announced that it could no longer guarantee the safety of Soviet diplomats outside the embassy building.
215,1967,Sweden,Right-hand traffic introduced
216,1967,United Kingdom,The Sexual Offences Act 1967 legalises homosexuality between men over 21.
217,1968,Albania,Warsaw Pact invasion of Czechoslovakia: Albania condemned the invasion and withdrew from the Warsaw Pact.
218,1968,Belgium,1968 Belgian general election
219,1968,Bulgary,Zhivkov's loyalty was demonstrated to the Soviet Union.
220,1968,France,"May '68: a series of protests, occupations and strikes against capitalism, consumerism and traditional institutions, values and order (part of the 1968 worldwide protests)."
221,1968,Germany,"The German Emergency Acts were passed, amending the Basic Law for the Federal Republic of Germany to allow for the restriction of certain freedoms in the event of an emergency, and marking a major political defeat for the German student movement."
222,1968,Iceland,Kristján Eldjárn becomes president. Collapse of the fishing industry.[citation needed]
223,1968,Italy,"The Belice earthquake sequence took place in Sicily between 14 and 15 January.[12]  The largest shock measured 5.5 on the moment magnitude scale, with five others of magnitude 5+.[13] The maximum perceived intensity was X (Extreme) on the Mercalli intensity scale. The earthquake sequence, centred between the towns of Gibellina, Salaparuta and Poggioreale, killed at least 231 people, possibly more than 400, with between 632 and about 1,000 injured and left 100,000 homeless. It is known in Italy as Terremoto del Belice."
224,1968,Portugal,Reorganisation of the Government.
225,1968,Romania,"Romania refuse to participate in the invasion of Czechoslovakia. Nicolae Ceauşescu openly condemns the action, thus he becomes a Western world favourite. Richard Nixon's visit to Romania was the first by an American president to a Communist country. The Patriotic Guards are formed as an additional defence force in case of an attack from the outside;"
226,1968,Russia,Prague Spring: The liberal Alexander Dubček was appointed to succeed Antonín Novotný as First Secretary of the Communist Party of Czechoslovakia.
227,1968,Serbia,"The Belgrade Spring erupts among studentry of Yugoslavia, ignited by Belgrade and Zagreb's student demands to improve the conditions in the two largest Universities. Croats also ask for their own literary language apart from Serbian language, for the first time since the Vienna Treaty in 1850."
228,1969,France,Georges Pompidou began his term as president of France.
229,1969,Germany,Willy Brandt of the SPD was elected chancellor of West Germany.
230,1969,Ireland,"Troops are deployed on the streets of Northern Ireland, marking the start of the Troubles."
231,1969,Italy,Published the first issue of Il manifesto (it will become daily in 1971).
232,1969,Portugal,The Single Party União Nacional is renamed Acção Nacional Popular (National Popular Action).
233,1969,Russia,Sino-Soviet border conflict: A Soviet patrol came into armed conflict with Chinese forces on Zhenbao Island.
234,1969,United Kingdom,"Concorde, the world's first supersonic airliner, makes its maiden flight."
235,1970,Germany,The Marxist–Leninist terrorist group the Red Army Faction (RAF) was founded.
236,1970,Iceland,Iceland joins the European Free Trade Association.[citation needed]
237,1970,Italy,"After the resignation of Mariano Rumor (6 July), Emilio Colombo forms a new Government."
238,1970,Malta,Malta becomes an Associate member of the European Community.
239,1970,Portugal,"Portugal invades Conakry, in the Republic of Guinea, 400 amphibious troops attacked the city and freed dozens of Portuguese Prisoners of war kept there by the PAIGC."
240,1970,United Kingdom,Edward Heath becomes Prime Minister.
241,1971,Belgium,Emperor Hirohito's state visit to Belgium.[157]
242,1971,Croatia,Croatian Spring: A student protest began in Zagreb.
243,1971,Cyprus,EOKA B' is being created
244,1971,Germany,Dahlerau train disaster
245,1971,Italy,The regional council of Calabria recognizes Catanzaro regional capital.
246,1971,Malta,Capital punishment for murder abolished.
247,1971,Sweden,The Riksdag becomes unicameral
248,1971,Switzerland,A referendum granting women the right to vote in federal elections was approved with sixty-six percent of the vote.
249,1971,United Kingdom,Decimal Day; the United Kingdom introduces a decimalized currency.
250,1972,Germany,"1972 Summer Olympics: The Olympic games opened in Munich, in West Germany."
251,1972,Iceland,Exclusive economic zone extended to 50 nautical miles.[citation needed]
252,1972,Ireland,The Parliament of Northern Ireland is prorogued (and abolished the following year).
253,1972,Malta,Malta enters into a Military Base Agreement with the United Kingdom and other NATO countries.
254,1972,Romania,"In order to develop a ""multilaterally socialist society"", Nicolae Ceauşescu starts urban planning, following the ideologies of North Korea. The face of the country is completely changed in the years to come;"
255,1972,United Kingdom,The United Kingdom signs the Treaty of Accession in a ceremony in Brussels which was attended by Prime Minister Edward Heath in preparedness for membership of the European Communities from 1 January 1973.
256,1973,Cyprus,The Turks emerged from their enclaves.
257,1973,Germany,East and West Germany were admitted to the United Nations (UN).
258,1973,Iceland,Volcanic eruption in Vestmannaeyjar.[citation needed]
259,1973,Ireland,Ireland joins the European Community along with the United Kingdom and Denmark.
260,1973,Ireland,The Northern Ireland Assembly is elected.
261,1973,Malta,Malta decriminalises homosexuality.
262,1973,Portugal,"Amílcar Cabral, leader of the PAIGC, is assassinated in Conakry by a disgruntled former associate under influence of the Portuguese Political Police DGS."
263,1973,Russia,"Vietnam War: The Paris Peace Accords pledged the signatory parties to ""respect the independence, sovereignty, unity, and territorial integrity of Vietnam as recognized by the 1954 Geneva Agreements on Vietnam,"" and promised a complete withdrawal of United States forces from Vietnam and Laos."
264,1973,Spain,Spanish miracle: The period ended.
265,1973,Sweden,Norrmalmstorg bank robbery and hostage crisis
266,1973,United Kingdom,The United Kingdom joins and becomes a member state of the European Communities.
267,1974,Belgium,1974 Belgian general election
268,1974,Croatia,"The 1974 Yugoslav Constitution came into force, establishing a nine-member Presidency of Yugoslavia of which Tito was president for Life."
269,1974,Cyprus,"see Timeline of events in Cyprus, 1974"
270,1974,France,Valéry Giscard d'Estaing began his term as president of France.
271,1974,Germany,Helmut Schmidt of the SPD was elected chancellor of West Germany.
272,1974,Ireland,"A power-sharing Northern Ireland Executive takes office, but resigns in May as a result of the Ulster Workers' Council strike; the Assembly is suspended and later abolished."
273,1974,Italy,"A referendum asking voters to repeal a government law allowing divorce is defeated. The result of Italian divorce referendum, 1974 is the retention of the law allowing divorce."
