,year_event,country_event_x,event_x,country_event_y,event_y
45,1946,Romania,The Romanian Communist Party wins the elections amid unrest and allegations of electoral fraud by opposition groups and the government of the United Kingdom.,Greek, Fighting resumes between the Government and the Communists.
46,1946,Romania,The Romanian Communist Party wins the elections amid unrest and allegations of electoral fraud by opposition groups and the government of the United Kingdom.,Greek, A national referendum favours constitutional monarchy.
47,1946,Romania,The Romanian Communist Party wins the elections amid unrest and allegations of electoral fraud by opposition groups and the government of the United Kingdom.,Greek, King George II returns to Greece.
48,1946,Romania,The Romanian Communist Party wins the elections amid unrest and allegations of electoral fraud by opposition groups and the government of the United Kingdom.,Luxembourgo, Émile Hamilius becomes mayor.
49,1946,Russia,The Soviet-backed Kurdish Republic of Mahabad declared its independence from Iran.,Greek, Fighting resumes between the Government and the Communists.
50,1946,Russia,The Soviet-backed Kurdish Republic of Mahabad declared its independence from Iran.,Greek, A national referendum favours constitutional monarchy.
51,1946,Russia,The Soviet-backed Kurdish Republic of Mahabad declared its independence from Iran.,Greek, King George II returns to Greece.
52,1946,Russia,The Soviet-backed Kurdish Republic of Mahabad declared its independence from Iran.,Luxembourgo, Émile Hamilius becomes mayor.
53,1946,Serbia,"the National Committee for the War Crimes and Reparations concludes that 1,7 million people have died during World War II in Yugoslavia, many of whom were victims of civil war and the Croatian racial policy. Serbs account for about 65% of the total victim count, or 1,2 million people[citation needed]. About one third of the numbers are the victims of the Jasenovac concentration camp, according to this research. These numbers are a matter of controversy today but, nevertheless, reflect a high level of human losses in the country during World War II.",Greek, Fighting resumes between the Government and the Communists.
54,1946,Serbia,"the National Committee for the War Crimes and Reparations concludes that 1,7 million people have died during World War II in Yugoslavia, many of whom were victims of civil war and the Croatian racial policy. Serbs account for about 65% of the total victim count, or 1,2 million people[citation needed]. About one third of the numbers are the victims of the Jasenovac concentration camp, according to this research. These numbers are a matter of controversy today but, nevertheless, reflect a high level of human losses in the country during World War II.",Greek, A national referendum favours constitutional monarchy.
55,1946,Serbia,"the National Committee for the War Crimes and Reparations concludes that 1,7 million people have died during World War II in Yugoslavia, many of whom were victims of civil war and the Croatian racial policy. Serbs account for about 65% of the total victim count, or 1,2 million people[citation needed]. About one third of the numbers are the victims of the Jasenovac concentration camp, according to this research. These numbers are a matter of controversy today but, nevertheless, reflect a high level of human losses in the country during World War II.",Greek, King George II returns to Greece.
56,1946,Serbia,"the National Committee for the War Crimes and Reparations concludes that 1,7 million people have died during World War II in Yugoslavia, many of whom were victims of civil war and the Croatian racial policy. Serbs account for about 65% of the total victim count, or 1,2 million people[citation needed]. About one third of the numbers are the victims of the Jasenovac concentration camp, according to this research. These numbers are a matter of controversy today but, nevertheless, reflect a high level of human losses in the country during World War II.",Luxembourgo, Émile Hamilius becomes mayor.
57,1947,Albania,Corfu Channel Incident: United Nations Security Council Resolution 22 recommended that the International Court of Justice settle the dispute between the UK and Albania regarding the sinking of two British ships in the Straits of Corfu.,Greek," The deadliest shipwreck of modern Greek history occurs when Himara sinks in the South Evian Gulf, resulting in 391 deaths. It remains unknown if the cause was the bad weather, a mine or sabotage."
58,1947,Albania,Corfu Channel Incident: United Nations Security Council Resolution 22 recommended that the International Court of Justice settle the dispute between the UK and Albania regarding the sinking of two British ships in the Straits of Corfu.,Greek," King George II dies of sudden heart failure in the Palace in Athens. Some Greeks do not believe the announcement, considering it a joke. He is succeeded by his younger brother Paul."
59,1947,Albania,Corfu Channel Incident: United Nations Security Council Resolution 22 recommended that the International Court of Justice settle the dispute between the UK and Albania regarding the sinking of two British ships in the Straits of Corfu.,Greek," Approximately 1,200 Communist militants are killed in a battle near Konitsa"
60,1947,Belgium,Victor Horta dies.,Greek," The deadliest shipwreck of modern Greek history occurs when Himara sinks in the South Evian Gulf, resulting in 391 deaths. It remains unknown if the cause was the bad weather, a mine or sabotage."
61,1947,Belgium,Victor Horta dies.,Greek," King George II dies of sudden heart failure in the Palace in Athens. Some Greeks do not believe the announcement, considering it a joke. He is succeeded by his younger brother Paul."
62,1947,Belgium,Victor Horta dies.,Greek," Approximately 1,200 Communist militants are killed in a battle near Konitsa"
63,1947,Bulgary,Bulgaria and the Soviet Union signed a peace treaty.,Greek," The deadliest shipwreck of modern Greek history occurs when Himara sinks in the South Evian Gulf, resulting in 391 deaths. It remains unknown if the cause was the bad weather, a mine or sabotage."
64,1947,Bulgary,Bulgaria and the Soviet Union signed a peace treaty.,Greek," King George II dies of sudden heart failure in the Palace in Athens. Some Greeks do not believe the announcement, considering it a joke. He is succeeded by his younger brother Paul."
65,1947,Bulgary,Bulgaria and the Soviet Union signed a peace treaty.,Greek," Approximately 1,200 Communist militants are killed in a battle near Konitsa"
66,1947,Croatia,"The Paris Peace Treaties, 1947 were signed, solidifying Yugoslavia's border with Italy and establishing the Free Territory of Trieste, half of which was to be under Yugoslavian military occupation.[citation needed]",Greek," The deadliest shipwreck of modern Greek history occurs when Himara sinks in the South Evian Gulf, resulting in 391 deaths. It remains unknown if the cause was the bad weather, a mine or sabotage."
67,1947,Croatia,"The Paris Peace Treaties, 1947 were signed, solidifying Yugoslavia's border with Italy and establishing the Free Territory of Trieste, half of which was to be under Yugoslavian military occupation.[citation needed]",Greek," King George II dies of sudden heart failure in the Palace in Athens. Some Greeks do not believe the announcement, considering it a joke. He is succeeded by his younger brother Paul."
68,1947,Croatia,"The Paris Peace Treaties, 1947 were signed, solidifying Yugoslavia's border with Italy and establishing the Free Territory of Trieste, half of which was to be under Yugoslavian military occupation.[citation needed]",Greek," Approximately 1,200 Communist militants are killed in a battle near Konitsa"
69,1947,Finland,The Paris Peace Treaties were signed and restored borders from 1 January 1941.,Greek," The deadliest shipwreck of modern Greek history occurs when Himara sinks in the South Evian Gulf, resulting in 391 deaths. It remains unknown if the cause was the bad weather, a mine or sabotage."
70,1947,Finland,The Paris Peace Treaties were signed and restored borders from 1 January 1941.,Greek," King George II dies of sudden heart failure in the Palace in Athens. Some Greeks do not believe the announcement, considering it a joke. He is succeeded by his younger brother Paul."
71,1947,Finland,The Paris Peace Treaties were signed and restored borders from 1 January 1941.,Greek," Approximately 1,200 Communist militants are killed in a battle near Konitsa"
72,1947,France,Vincent Auriol began his term as the first president of the Fourth Republic.,Greek," The deadliest shipwreck of modern Greek history occurs when Himara sinks in the South Evian Gulf, resulting in 391 deaths. It remains unknown if the cause was the bad weather, a mine or sabotage."
73,1947,France,Vincent Auriol began his term as the first president of the Fourth Republic.,Greek," King George II dies of sudden heart failure in the Palace in Athens. Some Greeks do not believe the announcement, considering it a joke. He is succeeded by his younger brother Paul."
74,1947,France,Vincent Auriol began his term as the first president of the Fourth Republic.,Greek," Approximately 1,200 Communist militants are killed in a battle near Konitsa"
75,1947,Germany,Planck died.,Greek," The deadliest shipwreck of modern Greek history occurs when Himara sinks in the South Evian Gulf, resulting in 391 deaths. It remains unknown if the cause was the bad weather, a mine or sabotage."
76,1947,Germany,Planck died.,Greek," King George II dies of sudden heart failure in the Palace in Athens. Some Greeks do not believe the announcement, considering it a joke. He is succeeded by his younger brother Paul."
77,1947,Germany,Planck died.,Greek," Approximately 1,200 Communist militants are killed in a battle near Konitsa"
78,1947,Italy,"Primo Levi publishes If This Is a Man, based on his experiences in Auschwitz.[10]",Greek," The deadliest shipwreck of modern Greek history occurs when Himara sinks in the South Evian Gulf, resulting in 391 deaths. It remains unknown if the cause was the bad weather, a mine or sabotage."
79,1947,Italy,"Primo Levi publishes If This Is a Man, based on his experiences in Auschwitz.[10]",Greek," King George II dies of sudden heart failure in the Palace in Athens. Some Greeks do not believe the announcement, considering it a joke. He is succeeded by his younger brother Paul."
80,1947,Italy,"Primo Levi publishes If This Is a Man, based on his experiences in Auschwitz.[10]",Greek," Approximately 1,200 Communist militants are killed in a battle near Konitsa"
81,1947,Malta,Restoration of Self-Government.,Greek," The deadliest shipwreck of modern Greek history occurs when Himara sinks in the South Evian Gulf, resulting in 391 deaths. It remains unknown if the cause was the bad weather, a mine or sabotage."
82,1947,Malta,Restoration of Self-Government.,Greek," King George II dies of sudden heart failure in the Palace in Athens. Some Greeks do not believe the announcement, considering it a joke. He is succeeded by his younger brother Paul."
83,1947,Malta,Restoration of Self-Government.,Greek," Approximately 1,200 Communist militants are killed in a battle near Konitsa"
84,1947,Romania,"Following the abdication of Mihai I, the People's Republic of Romania is declared on December 30 against the majority of people who supported the monarchy. The new leader of Romania becomes Gheorghe Gheorghiu-Dej, General Secretary of the Romanian Communist Party;",Greek," The deadliest shipwreck of modern Greek history occurs when Himara sinks in the South Evian Gulf, resulting in 391 deaths. It remains unknown if the cause was the bad weather, a mine or sabotage."
85,1947,Romania,"Following the abdication of Mihai I, the People's Republic of Romania is declared on December 30 against the majority of people who supported the monarchy. The new leader of Romania becomes Gheorghe Gheorghiu-Dej, General Secretary of the Romanian Communist Party;",Greek," King George II dies of sudden heart failure in the Palace in Athens. Some Greeks do not believe the announcement, considering it a joke. He is succeeded by his younger brother Paul."
86,1947,Romania,"Following the abdication of Mihai I, the People's Republic of Romania is declared on December 30 against the majority of people who supported the monarchy. The new leader of Romania becomes Gheorghe Gheorghiu-Dej, General Secretary of the Romanian Communist Party;",Greek," Approximately 1,200 Communist militants are killed in a battle near Konitsa"
87,1947,Russia,The Cominform was established in order to coordinate Communist parties under Soviet control.,Greek," The deadliest shipwreck of modern Greek history occurs when Himara sinks in the South Evian Gulf, resulting in 391 deaths. It remains unknown if the cause was the bad weather, a mine or sabotage."
88,1947,Russia,The Cominform was established in order to coordinate Communist parties under Soviet control.,Greek," King George II dies of sudden heart failure in the Palace in Athens. Some Greeks do not believe the announcement, considering it a joke. He is succeeded by his younger brother Paul."
89,1947,Russia,The Cominform was established in order to coordinate Communist parties under Soviet control.,Greek," Approximately 1,200 Communist militants are killed in a battle near Konitsa"
90,1947,Slovenia,21 countries sign the Paris peace conference with Italy.,Greek," The deadliest shipwreck of modern Greek history occurs when Himara sinks in the South Evian Gulf, resulting in 391 deaths. It remains unknown if the cause was the bad weather, a mine or sabotage."
91,1947,Slovenia,21 countries sign the Paris peace conference with Italy.,Greek," King George II dies of sudden heart failure in the Palace in Athens. Some Greeks do not believe the announcement, considering it a joke. He is succeeded by his younger brother Paul."
92,1947,Slovenia,21 countries sign the Paris peace conference with Italy.,Greek," Approximately 1,200 Communist militants are killed in a battle near Konitsa"
93,1947,Sweden,"Furniture company, IKEA, founded by Ingvar Kamprad",Greek," The deadliest shipwreck of modern Greek history occurs when Himara sinks in the South Evian Gulf, resulting in 391 deaths. It remains unknown if the cause was the bad weather, a mine or sabotage."
94,1947,Sweden,"Furniture company, IKEA, founded by Ingvar Kamprad",Greek," King George II dies of sudden heart failure in the Palace in Athens. Some Greeks do not believe the announcement, considering it a joke. He is succeeded by his younger brother Paul."
95,1947,Sweden,"Furniture company, IKEA, founded by Ingvar Kamprad",Greek," Approximately 1,200 Communist militants are killed in a battle near Konitsa"
96,1947,United Kingdom,India gains independence from Britain.,Greek," The deadliest shipwreck of modern Greek history occurs when Himara sinks in the South Evian Gulf, resulting in 391 deaths. It remains unknown if the cause was the bad weather, a mine or sabotage."
97,1947,United Kingdom,India gains independence from Britain.,Greek," King George II dies of sudden heart failure in the Palace in Athens. Some Greeks do not believe the announcement, considering it a joke. He is succeeded by his younger brother Paul."
98,1947,United Kingdom,India gains independence from Britain.,Greek," Approximately 1,200 Communist militants are killed in a battle near Konitsa"
99,1948,Albania,Albanian Communist Party leaders began voting to merge the Albanian and Yugoslavian economies and militaries.,Greek, The Communists reach the maximum of their power.
100,1948,Belgium,"Customs Convention between Belgium, the Netherlands and Luxembourg comes into force.[154]: 978",Greek, The Communists reach the maximum of their power.
101,1948,Croatia,Tito–Stalin split: Croatian Communist Party member Andrija Hebrang was arrested after supporting the Soviet Union in a dispute with Yugoslavia.[citation needed],Greek, The Communists reach the maximum of their power.
102,1948,Germany,"Ludwig Erhard, the appointed economic director of the Bizone, introduced the Deutsche Mark.",Greek, The Communists reach the maximum of their power.
103,1948,Iceland,Iceland receives Marshall Aid from the United States.[citation needed],Greek, The Communists reach the maximum of their power.
104,1948,Italy,"The general election sanctions the supremacy of the Christian Democracy party, and the belonging of Italy to the Western side.",Greek, The Communists reach the maximum of their power.
105,1948,Portugal,The MUD is banished.,Greek, The Communists reach the maximum of their power.
106,1948,Romania,"A new constitution is ratified on April 13. Two months later, on June 11 all banks and major enterprises are nationalized. During the year, also in the years to come, many pre-war politicians, businessmen, priests and even ordinary people are thrown in prisons. On August 30, following the model of Soviet NKVD, the Romanian secret police is formed;",Greek, The Communists reach the maximum of their power.
107,1948,Russia,Berlin Blockade: The Soviet Union blocked rail and road access to West Berlin.,Greek, The Communists reach the maximum of their power.
108,1948,Serbia,"The SFRY is expelled from the World Communist League, after refusing to accept the Soviet Union's supremacy in the communist world. Yugoslavia, therefore, has never signed the Warsaw Pact nor has it been, consequently, behind the Iron Curtain, unlike its immediate neighbours. From that point on Yugoslav history differs from that of cold-war Eastern Europe",Greek, The Communists reach the maximum of their power.
109,1948,Slovenia,"Soviet Union calls back all its specialists from Yugoslavia. The Communist Party of the Soviet Union accuses the Communist Party of Yugoslavia of not being democratic, that it leans toward imperial powers, that returns to capitalism, and that it diverts from Marxism. The Informbiro begins. Economic blockade and a threat of military intervention follow.",Greek, The Communists reach the maximum of their power.
110,1948,United Kingdom,British Rail is established.,Greek, The Communists reach the maximum of their power.
111,1949,Albania,The regime issued a Decree on Religious Communities.,Greek," General Alexander Papagos begins a major counter-offensive against Communist forces in northern Greece, pushing them into Albania."
112,1949,Albania,The regime issued a Decree on Religious Communities.,Greek," Nikolaos Zachariadis, commander of the Communist guerillas, announces a ceasefire that ends the Greek Civil War."
113,1949,Belgium,"Belgian general election, 1949",Greek," General Alexander Papagos begins a major counter-offensive against Communist forces in northern Greece, pushing them into Albania."
114,1949,Belgium,"Belgian general election, 1949",Greek," Nikolaos Zachariadis, commander of the Communist guerillas, announces a ceasefire that ends the Greek Civil War."
115,1949,Bulgary,Georgi Dimitrov died and Valko Chervenkov became the new leader of the communist party.,Greek," General Alexander Papagos begins a major counter-offensive against Communist forces in northern Greece, pushing them into Albania."
116,1949,Bulgary,Georgi Dimitrov died and Valko Chervenkov became the new leader of the communist party.,Greek," Nikolaos Zachariadis, commander of the Communist guerillas, announces a ceasefire that ends the Greek Civil War."
117,1949,Croatia,Nazor died.,Greek," General Alexander Papagos begins a major counter-offensive against Communist forces in northern Greece, pushing them into Albania."
118,1949,Croatia,Nazor died.,Greek," Nikolaos Zachariadis, commander of the Communist guerillas, announces a ceasefire that ends the Greek Civil War."
119,1949,Cyprus,The British Government finished imprisoning displaced Jews.,Greek," General Alexander Papagos begins a major counter-offensive against Communist forces in northern Greece, pushing them into Albania."
120,1949,Cyprus,The British Government finished imprisoning displaced Jews.,Greek," Nikolaos Zachariadis, commander of the Communist guerillas, announces a ceasefire that ends the Greek Civil War."
121,1949,Estonia,"Operation Priboi: An extensive deportation campaign is conducted in Estonia, Latvia and Lithuania. The Soviet authorities deport more than 92,000 people from the Baltics to remote areas of the Soviet Union.",Greek," General Alexander Papagos begins a major counter-offensive against Communist forces in northern Greece, pushing them into Albania."
122,1949,Estonia,"Operation Priboi: An extensive deportation campaign is conducted in Estonia, Latvia and Lithuania. The Soviet authorities deport more than 92,000 people from the Baltics to remote areas of the Soviet Union.",Greek," Nikolaos Zachariadis, commander of the Communist guerillas, announces a ceasefire that ends the Greek Civil War."
123,1949,Germany,Berlin Blockade: The Soviet Union lifted the blockade.,Greek," General Alexander Papagos begins a major counter-offensive against Communist forces in northern Greece, pushing them into Albania."
124,1949,Germany,Berlin Blockade: The Soviet Union lifted the blockade.,Greek," Nikolaos Zachariadis, commander of the Communist guerillas, announces a ceasefire that ends the Greek Civil War."
125,1949,Iceland,Riots break out on Austurvöllur.[citation needed],Greek," General Alexander Papagos begins a major counter-offensive against Communist forces in northern Greece, pushing them into Albania."
126,1949,Iceland,Riots break out on Austurvöllur.[citation needed],Greek," Nikolaos Zachariadis, commander of the Communist guerillas, announces a ceasefire that ends the Greek Civil War."
127,1949,Ireland,The Republic of Ireland Act abolishes the statutory functions of the British monarch in relation to Ireland and confers them on the President of Ireland.,Greek," General Alexander Papagos begins a major counter-offensive against Communist forces in northern Greece, pushing them into Albania."
128,1949,Ireland,The Republic of Ireland Act abolishes the statutory functions of the British monarch in relation to Ireland and confers them on the President of Ireland.,Greek," Nikolaos Zachariadis, commander of the Communist guerillas, announces a ceasefire that ends the Greek Civil War."
129,1949,Italy,Italy joins NATO.,Greek," General Alexander Papagos begins a major counter-offensive against Communist forces in northern Greece, pushing them into Albania."
130,1949,Italy,Italy joins NATO.,Greek," Nikolaos Zachariadis, commander of the Communist guerillas, announces a ceasefire that ends the Greek Civil War."
131,1949,Portugal,The President António Óscar Carmona meets with Spanish dictator Francisco Franco.,Greek," General Alexander Papagos begins a major counter-offensive against Communist forces in northern Greece, pushing them into Albania."
132,1949,Portugal,The President António Óscar Carmona meets with Spanish dictator Francisco Franco.,Greek," Nikolaos Zachariadis, commander of the Communist guerillas, announces a ceasefire that ends the Greek Civil War."
133,1949,Romania,"A forced collectivization, in which the agriculture is organized under the socialist model, comes into force. Romania join Comecon. The construction of Danube-Black Sea Canal starts. The canal was the most known labour camp in the history of Romania;",Greek," General Alexander Papagos begins a major counter-offensive against Communist forces in northern Greece, pushing them into Albania."
134,1949,Romania,"A forced collectivization, in which the agriculture is organized under the socialist model, comes into force. Romania join Comecon. The construction of Danube-Black Sea Canal starts. The canal was the most known labour camp in the history of Romania;",Greek," Nikolaos Zachariadis, commander of the Communist guerillas, announces a ceasefire that ends the Greek Civil War."
135,1949,Russia,Berlin Blockade: The Soviets lifted the blockade.,Greek," General Alexander Papagos begins a major counter-offensive against Communist forces in northern Greece, pushing them into Albania."
136,1949,Russia,Berlin Blockade: The Soviets lifted the blockade.,Greek," Nikolaos Zachariadis, commander of the Communist guerillas, announces a ceasefire that ends the Greek Civil War."
137,1950,Albania,Britain and the United States begin inserting unsuccessful anticommunist Albanian guerrilla units into Albania.,Greek," The eruption of the Thera volcano for the fourth time in the century, causes the evacuation of the island."
138,1950,Albania,Britain and the United States begin inserting unsuccessful anticommunist Albanian guerrilla units into Albania.,Greek," Greece participates with the Korean War in favor of South Korea. By the end of the war during 1953, 194 Greek soldiers will be killed."
139,1950,Belgium,"Royal Question brought to a head with Belgian monarchy referendum, 1950",Greek," The eruption of the Thera volcano for the fourth time in the century, causes the evacuation of the island."
140,1950,Belgium,"Royal Question brought to a head with Belgian monarchy referendum, 1950",Greek," Greece participates with the Korean War in favor of South Korea. By the end of the war during 1953, 194 Greek soldiers will be killed."
141,1950,Croatia,Tito announced the introduction of workers' self-management in Yugoslavia.,Greek," The eruption of the Thera volcano for the fourth time in the century, causes the evacuation of the island."
142,1950,Croatia,Tito announced the introduction of workers' self-management in Yugoslavia.,Greek," Greece participates with the Korean War in favor of South Korea. By the end of the war during 1953, 194 Greek soldiers will be killed."
143,1950,Cyprus,"Archbishop Makarios III was elected the political and spiritual leader of Cyprus, the head of the autocephalous Cypriot Orthodox Church and leader of the campaign for Enosis with the support of Greece.",Greek," The eruption of the Thera volcano for the fourth time in the century, causes the evacuation of the island."
144,1950,Cyprus,"Archbishop Makarios III was elected the political and spiritual leader of Cyprus, the head of the autocephalous Cypriot Orthodox Church and leader of the campaign for Enosis with the support of Greece.",Greek," Greece participates with the Korean War in favor of South Korea. By the end of the war during 1953, 194 Greek soldiers will be killed."
145,1950,Germany,Wirtschaftswunder: The Times first used the term Wirtschaftswunder to refer to the rapid postwar economic growth of West Germany and Austria.,Greek," The eruption of the Thera volcano for the fourth time in the century, causes the evacuation of the island."
146,1950,Germany,Wirtschaftswunder: The Times first used the term Wirtschaftswunder to refer to the rapid postwar economic growth of West Germany and Austria.,Greek," Greece participates with the Korean War in favor of South Korea. By the end of the war during 1953, 194 Greek soldiers will be killed."
147,1950,Russia,"Korean War: Regarding a mass invasion of the South, Stalin wrote to his ambassador to North Korea: ""Tell him [Kim] that I am ready to help him in this matter.""",Greek," The eruption of the Thera volcano for the fourth time in the century, causes the evacuation of the island."
148,1950,Russia,"Korean War: Regarding a mass invasion of the South, Stalin wrote to his ambassador to North Korea: ""Tell him [Kim] that I am ready to help him in this matter.""",Greek," Greece participates with the Korean War in favor of South Korea. By the end of the war during 1953, 194 Greek soldiers will be killed."
149,1950,United Kingdom,"Birth of Anne, Princess Royal.",Greek," The eruption of the Thera volcano for the fourth time in the century, causes the evacuation of the island."
150,1950,United Kingdom,"Birth of Anne, Princess Royal.",Greek," Greece participates with the Korean War in favor of South Korea. By the end of the war during 1953, 194 Greek soldiers will be killed."
151,1952,Belgium,Treaty of Paris establishing the European Coal and Steel Community comes into force.[154]: 655,Greek, Greece and Turkey become members of NATO.
152,1952,Belgium,Treaty of Paris establishing the European Coal and Steel Community comes into force.[154]: 655,Luxembourgo," European Coal and Steel Community, European Commission, and European Court of Justice headquartered in city."
153,1952,Finland,Finland entered into a passport union.,Greek, Greece and Turkey become members of NATO.
154,1952,Finland,Finland entered into a passport union.,Luxembourgo," European Coal and Steel Community, European Commission, and European Court of Justice headquartered in city."
155,1952,Germany,East Germany strengthened its border protection regime along the Inner German border.,Greek, Greece and Turkey become members of NATO.
156,1952,Germany,East Germany strengthened its border protection regime along the Inner German border.,Luxembourgo," European Coal and Steel Community, European Commission, and European Court of Justice headquartered in city."
157,1952,Iceland,Exclusive economic zone extended to 4 nautical miles. Ásgeir Ásgeirsson becomes president.[citation needed],Greek, Greece and Turkey become members of NATO.
158,1952,Iceland,Exclusive economic zone extended to 4 nautical miles. Ásgeir Ásgeirsson becomes president.[citation needed],Luxembourgo," European Coal and Steel Community, European Commission, and European Court of Justice headquartered in city."
159,1952,Italy,Italy becomes a founding member of the European Coal and Steel Community.,Greek, Greece and Turkey become members of NATO.
160,1952,Italy,Italy becomes a founding member of the European Coal and Steel Community.,Luxembourgo," European Coal and Steel Community, European Commission, and European Court of Justice headquartered in city."
161,1952,Romania,"The Hungarian Autonomous Province, the one and only autonomous province in modern Romania, is created. It will be disestablished in 1968. The second Communist constitution is ratified;",Greek, Greece and Turkey become members of NATO.
